ex_id,ex_name,ex_type,ex_desc,ideal_stage_id
1,Walking,Low-impact aerobic exercise,"Walking is a gentle form of exercise that can improve blood flow and relieve menstrual cramps. It's also a great way to get fresh air and light movement without putting too much strain on your body.",1
2,Yoga,Gentle stretching and relaxation exercises,"Yoga poses, particularly those that focus on stretching and relaxation, can help relieve tension and reduce menstrual cramps. Some poses like child's pose, cat-cow pose, and legs-up-the-wall pose may be especially beneficial during your period.",1
3,Swimming,Low-impact aerobic exercise,"Swimming is a low-impact exercise that can reduce bloating and improve mood. The buoyancy of the water can also provide a sense of weightlessness, which may help alleviate discomfort.",1
4,Pilates,Core-strengthening exercises,"Pilates is a type of exercise that focuses on strengthening the core muscles, which can help improve posture and relieve lower back pain, a common symptom during menstruation.",1
5,Cycling,Cardiovascular exercise,"Cycling is a great cardiovascular exercise that can help improve mood, increase energy levels, and relieve menstrual cramps. You can choose to cycle outdoors or use a stationary bike indoors.",1
6,Light strength training,Strengthening exercises with light weights or resistance bands,"Light strength training exercises, such as squats, lunges, and bicep curls with light weights or resistance bands, can help improve muscle tone, boost mood, and increase overall strength.",1
7,Stretching,Gentle stretching exercises,"Gentle stretching exercises, such as hamstring stretches, hip stretches, and gentle backbends, can help relieve muscle tension and improve flexibility. Stretching can be done in combination with other exercises or as a standalone routine.",1
8,Strength Training,Resistance exercises,"Strength training exercises, such as weightlifting or resistance band exercises, can help improve muscle tone, increase strength, and boost metabolism. During the luteal phase, when estrogen and progesterone levels are higher.",4
9,High-Intensity Interval Training,"Cardiovascular and strength exercises in short, intense bursts","During the luteal phase, when energy levels may be higher, you may have the stamina for short bursts of high-intensity exercises like sprints, burpees, or jump squats.",4
10,Yoga,Stretching and relaxation exercises,"Yoga poses that focus on stretching, relaxation, and stress reduction can be particularly beneficial during the luteal phase, as they can help alleviate muscle tension, reduce stress, and improve mood.",4
11,Walking or Light Aerobic Exercise,Low-impact cardiovascular exercise,"Walking, light jogging, or other low-impact aerobic exercises can help improve cardiovascular fitness, boost mood, and promote overall well-being during the luteal phase.",4
12,Mindful Exercises,"Relaxation exercises, such as meditation or deep breathing","Mindful exercises, such as meditation, deep breathing, or gentle stretching, can help reduce stress, promote relaxation, and improve mood during the luteal phase.",4
13,Low-Impact Exercises,Gentle exercises that minimize joint impact,"Low-impact exercises like swimming, cycling, or using an elliptical machine can provide a good cardiovascular workout without putting excessive strain on joints during the luteal phase.",4
14,Strength Training,"Resistance with weights, resistance bands, or bodyweight","Strength training exercises, such as weight lifting, resistance band exercises, or bodyweight exercises, can be beneficial during the follicular phase.",2
15,Cardiovascular Exercises,"Aerobic exercises like running, cycling, or dancing","Cardiovascular exercises, such as running, cycling, dancing, or other forms of aerobic exercise, can help improve cardiovascular fitness, boost mood, and increase energy levels during the ovulation phase.",3
16,Interval Training,Alternating periods of high-intensity and low-intensity exercises,"Interval training, which involves alternating periods of high-intensity exercises with periods of low-intensity recovery, can be a great option during the ovulation phase.",3
17,Dance or Zumba,Dance-based workouts,"Dancing or Zumba workouts, which combine dance movements with aerobic exercise, can be a fun and enjoyable way to get moving during the ovulation phase. They can help improve cardiovascular fitness, increase energy levels, and boost mood.",3
18,Pilates,Core-strengthening exercises,"Pilates is a form of exercise that focuses on core strength, stability, and flexibility. During the ovulation phase, when energy levels may be higher, you can incorporate Pilates exercises that challenge your core muscles, such as plank variations, leg circles, or scissor exercises.",3
19,Outdoor Activities,"Outdoor exercises like hiking, biking, or outdoor sports","Outdoor activities like hiking, biking, or playing outdoor sports can be a great way to take advantage of the favorable weather during the ovulation phase and get some fresh air and sunshine.",3
20,Stretching and Flexibility Exercises,Stretching and flexibility exercises like yoga or stretching routines,"Stretching and flexibility exercises, such as yoga or dedicated stretching routines, can help improve flexibility, mobility, and relaxation during the ovulation phase.",3
21,High-Intensity Interval Training (HIIT),Alternating periods of high-intensity and low-intensity exercises,"HIIT workouts, which involve short bursts of high-intensity exercises followed by periods of low-intensity recovery, can be effective during the follicular phase.",2
22,Yoga,Mind-body exercises,"Yoga, a form of mind-body exercise, can be beneficial during the follicular phase, as it helps improve flexibility, strength, and relaxation. Yoga poses, such as warrior series, tree pose, bridge pose, and downward dog, can help stretch and strengthen muscles, improve balance, and enhance body awareness.",2
23,Swimming,Low-impact cardiovascular exercise,"Swimming is a low-impact cardiovascular exercise that can be gentle on the joints and muscles, making it a good option during the follicular phase. Swimming can help improve cardiovascular fitness, strengthen muscles, and increase endurance.",2
24,Walking,Low-impact cardiovascular exercise,"Walking is a low-impact exercise that can be easily incorporated into your routine during the follicular phase. Walking can help improve cardiovascular fitness, boost mood, and promote overall well-being. You can take brisk walks outdoors or on a treadmill.",2
25,Stretching and Flexibility Exercises,Stretching and flexibility exercises like dynamic stretching or gentle yoga flows,"Stretching and flexibility exercises, such as dynamic stretching or gentle yoga flows, can help improve flexibility, mobility, and relaxation during the follicular phase.",2
