ex_id,ex_name,ex_type,ideal_stage_id,ex_desc
0,Walking,Low-impact aerobic exercise,1,Walking is a gentle form of exercise that can improve blood flow and relieve menstrual cramps. It's also a great way to get fresh air and light movement without putting too much strain on your body.
1,Yoga,Gentle stretching and relaxation exercises,1,"Yoga poses, particularly those that focus on stretching and relaxation, can help relieve tension and reduce menstrual cramps. Some poses like child's pose, cat-cow pose, and legs-up-the-wall pose may be especially beneficial during your period."
2,Swimming,Low-impact aerobic exercise,1,"Swimming is a low-impact exercise that can reduce bloating and improve mood. The buoyancy of the water can also provide a sense of weightlessness, which may help alleviate discomfort."
3,Pilates,Core-strengthening exercises,1,"Pilates is a type of exercise that focuses on strengthening the core muscles, which can help improve posture and relieve lower back pain, a common symptom during menstruation."
4,Cycling,Cardiovascular exercise,1,"Cycling is a great cardiovascular exercise that can help improve mood, increase energy levels, and relieve menstrual cramps. You can choose to cycle outdoors or use a stationary bike indoors."
5,Light strength training,Strengthening exercises with light weights or resistance bands,1,"Light strength training exercises, such as squats, lunges, and bicep curls with light weights or resistance bands, can help improve muscle tone, boost mood, and increase overall strength."
6,Stretching,Gentle stretching exercises,1,"Gentle stretching exercises, such as hamstring stretches, hip stretches, and gentle backbends, can help relieve muscle tension and improve flexibility. Stretching can be done in combination with other exercises or as a standalone routine."
19,Strength Training,"Resistance exercises using weights, resistance bands, or bodyweight",2,"Strength training exercises, such as weight lifting, resistance band exercises, or bodyweight exercises, can be beneficial during the follicular phase. Hormonal fluctuations during this phase may increase muscle strength and endurance, making it an ideal time to focus on building lean muscle mass. Incorporate exercises that target all major muscle groups, such as squats, deadlifts, chest presses, rows, and lunges, with proper form and technique for maximum benefits."
20,High-Intensity Interval Training (HIIT),Alternating periods of high-intensity and low-intensity exercises,2,"HIIT workouts, which involve short bursts of high-intensity exercises followed by periods of low-intensity recovery, can be effective during the follicular phase. This type of workout can help improve cardiovascular fitness, boost metabolism, and increase endurance. You can customize HIIT workouts based on your fitness level and preferences, incorporating exercises like burpees, jumping jacks, mountain climbers, and high knees."
21,Yoga,Mind-body exercises,2,"Yoga, a form of mind-body exercise, can be beneficial during the follicular phase, as it helps improve flexibility, strength, and relaxation. Yoga poses, such as warrior series, tree pose, bridge pose, and downward dog, can help stretch and strengthen muscles, improve balance, and enhance body awareness. Yoga also promotes relaxation and stress reduction, which can be helpful during the follicular phase when estrogen levels are low."
